id,name,form,cuisine,moods,time,effort,cost,tags,season,tier
oyakodon,親子丼,one_dish,japanese,hearty|warm|noodle_rice,15,1,1,chicken|egg|soy|wheat,all,free
butakimchi_don,豚キムチ丼,one_dish,japanese,hearty|noodle_rice,10,1,1,pork|soy,all,free
gyudon,牛丼,one_dish,japanese,hearty|noodle_rice,20,1,2,beef|soy,all,free
yaki_udon,焼きうどん,one_dish,japanese,hearty|noodle_rice,10,1,1,pork|wheat|soy,all,free
kamatama_udon,釜玉うどん,one_dish,japanese,light|noodle_rice,10,1,1,wheat|egg|soy,all,free
nyumen,にゅうめん,one_dish,japanese,warm|light|noodle_rice,10,1,1,wheat|soy,autumn|winter,free
niku_udon,肉うどん,one_dish,japanese,warm|hearty|noodle_rice,10,1,2,beef|wheat|soy,all,free
kitsune_udon,きつねうどん,one_dish,japanese,warm|noodle_rice,15,1,1,wheat|soy|tofu,all,free
tori_nanban_soba,鶏南蛮そば,one_dish,japanese,warm|noodle_rice,20,1,2,chicken|buckwheat|soy,autumn|winter,pro
zaru_soba,ざるそば,one_dish,japanese,light|noodle_rice,10,1,1,buckwheat|soy,spring|summer,free
napolitan,ナポリタン,one_dish,western,hearty|noodle_rice,20,1,1,wheat|pork,all,free
peperoncino,ペペロンチーノ,one_dish,western,light|noodle_rice,15,1,1,wheat,all,free
tarako_pasta,たらこパスタ,one_dish,western,light|noodle_rice,15,1,2,wheat|fish|milk,all,pro
meat_sauce_pasta,ミートソースパスタ,one_dish,western,hearty|noodle_rice,30,2,2,wheat|beef|pork,all,pro
carbonara,カルボナーラ,one_dish,western,hearty|noodle_rice,20,2,2,wheat|egg|milk|pork,all,pro
curry_rice,カレーライス,one_dish,western,hearty|warm|noodle_rice,40,2,2,wheat|pork,all,free
keema_curry,キーマカレー,one_dish,ethnic,hearty|warm|noodle_rice,20,2,2,beef|pork,all,pro
gapao_rice,ガパオライス,one_dish,ethnic,hearty|noodle_rice,15,1,2,chicken|egg|fish,all,pro
taco_rice,タコライス,one_dish,ethnic,hearty|noodle_rice,15,1,2,beef|pork|milk,all,pro
omurice,オムライス,one_dish,western,hearty|noodle_rice,20,2,1,egg|chicken|milk,all,free
chahan,チャーハン,one_dish,chinese,hearty|noodle_rice,10,1,1,egg|pork|soy,all,free
chuka_don,中華丼,one_dish,chinese,warm|noodle_rice,20,2,2,pork|soy|mushroom,all,pro
mabo_don,麻婆丼,one_dish,chinese,hearty|warm|noodle_rice,15,1,1,pork|tofu|soy,all,free
shoyu_ramen,醤油ラーメン,one_dish,chinese,warm|noodle_rice,15,1,1,wheat|egg|pork|soy,autumn|winter,free
shirunashi_tantan,汁なし担々麺,one_dish,chinese,hearty|noodle_rice,20,2,2,wheat|pork|soy|sesame,all,pro
yakisoba,焼きそば,one_dish,chinese,hearty|noodle_rice,15,1,1,wheat|pork,all,free
mizutaki,鶏の水炊き,one_dish,japanese,warm,30,1,2,chicken|tofu|soy,autumn|winter,free
kimchi_nabe,キムチ鍋,one_dish,ethnic,warm|hearty,20,1,2,pork|tofu|soy,autumn|winter,pro
tonyu_nabe,豆乳鍋,one_dish,japanese,warm|light,20,1,2,soy|tofu|pork,autumn|winter,pro
sake_zosui,鮭雑炊,one_dish,japanese,warm|light|noodle_rice,15,1,2,fish|egg|soy,all,pro
tamago_zosui,卵雑炊,one_dish,japanese,warm|light|noodle_rice,10,1,1,egg|soy,all,free
hiyashi_chuka,冷やし中華,one_dish,chinese,light|noodle_rice,15,1,2,wheat|egg|pork|soy,summer,pro
bibimbap,ビビンバ,one_dish,ethnic,hearty|noodle_rice,20,2,2,beef|egg|soy|sesame,all,pro
sabakan_tamagotoji_don,鯖缶の卵とじ丼,one_dish,japanese,warm|light|noodle_rice,10,1,1,fish|egg|soy,all,free
tuna_tomato_cold_pasta,ツナとトマトの冷製パスタ,one_dish,western,light|noodle_rice,15,1,1,wheat|fish,summer,free
buta_shogayaki,豚の生姜焼き,main,japanese,hearty,15,1,1,pork|soy,all,free
tori_teriyaki,鶏の照り焼き,main,japanese,hearty,20,1,1,chicken|soy,all,free
torimune_negishio,鶏むねのねぎ塩焼き,main,japanese,light,15,1,1,chicken,all,free
karaage,鶏の唐揚げ,main,japanese,hearty,30,3,1,chicken|soy|wheat,all,free
sake_meuniere,鮭のムニエル,main,western,light,15,1,2,fish|wheat|milk,all,free
sake_shioyaki,鮭の塩焼き,main,japanese,light,15,1,2,fish,all,free
saba_misoni,鯖の味噌煮,main,japanese,warm,20,2,2,fish|soy,all,pro
buri_daikon,ぶり大根,main,japanese,warm,40,2,3,fish|soy,winter,pro
buri_teriyaki,ぶりの照り焼き,main,japanese,hearty,15,1,3,fish|soy,winter,pro
mabo_dofu,麻婆豆腐,main,chinese,hearty|warm,15,1,1,pork|tofu|soy,all,free
hoikoro,回鍋肉,main,chinese,hearty,15,1,2,pork|soy,all,free
chinjao,青椒肉絲,main,chinese,hearty,20,2,2,beef|soy,all,pro
subuta,酢豚(揚げない),main,chinese,hearty,30,3,2,pork|soy,all,pro
ebichiri,エビチリ,main,chinese,hearty,20,2,3,shrimp|soy,all,pro
yodare_dori,よだれ鶏,main,chinese,light,20,1,1,chicken|soy|sesame,all,pro
nikujaga,肉じゃが,main,japanese,warm,30,2,2,beef|soy,all,free
hamburg,ハンバーグ,main,western,hearty,30,2,2,beef|pork|egg|wheat|milk,all,free
pork_chap,ポークチャップ,main,western,hearty,15,1,1,pork,all,free
tori_tomato_ni,鶏のトマト煮,main,western,warm,30,2,2,chicken,all,pro
cream_stew,クリームシチュー,main,western,warm,40,2,2,chicken|milk|wheat,autumn|winter,free
potofu,ポトフ,main,western,warm|light,30,1,2,pork,autumn|winter,pro
torimune_piccata,鶏むねのピカタ,main,western,light,15,1,1,chicken|egg|milk|wheat,all,pro
butabara_hakusai,豚バラと白菜の重ね煮,main,japanese,warm|light,20,1,1,pork|soy,autumn|winter,free
tebamoto_sappari_ni,手羽元のさっぱり煮,main,japanese,light|warm,30,1,1,chicken|soy|egg,all,pro
sanma_shioyaki,さんまの塩焼き,main,japanese,light,15,1,1,fish,autumn,pro
toridango_hakusai,鶏団子と白菜の煮込み,main,japanese,warm,30,2,1,chicken|egg|soy,autumn|winter,pro
tofu_steak,豆腐ステーキきのこあん,main,japanese,light|warm,15,1,1,tofu|soy|mushroom,all,free
butashabu_salad,豚しゃぶサラダ,main,japanese,light,10,1,2,pork|soy|sesame,spring|summer,free
tonteki,トンテキ,main,japanese,hearty,15,1,2,pork|soy,all,pro
goya_champuru,ゴーヤチャンプルー,main,japanese,light,15,1,1,egg|tofu|pork|soy,summer,pro
sake_chanchan,鮭のちゃんちゃん焼き,main,japanese,warm,20,1,2,fish|soy,autumn|winter,pro
chicken_nanban,チキン南蛮,main,japanese,hearty,30,2,1,chicken|egg|wheat,all,pro
gyoza,餃子,main,chinese,hearty,40,3,1,pork|wheat|soy,all,free
tandoori_chicken,タンドリーチキン,main,ethnic,hearty,30,2,2,chicken|milk,all,pro
atsuyaki_tamago,厚焼き卵,main,japanese,light,10,1,1,egg|soy,all,free
